Model,Accuracy,Precision,Recall,F1,ROC_AUC
logistic_regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.8148148148148148
random_forest,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.8214814814814815
xgboost,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.8225925925925925
